"Prvi pristop","Ime","Visna","Gorovje","Drzava"
"1964","Gyachung Kang","7952","Himalayas","Nepal"
"1964","Shishapangma","8013","Himalayas","Kitajska"
"1964","Mount Huntington","3731","Alaska Range","Zdruzene Drzave Amerike"
"1964","The Moose's Tooth","3150","Alaska Range","Zdruzene Drzave Amerike"
"1964","Mount Paget","2935","South Georgia","Antarktika"
"1965","Ball's Pyramid","562","Lord Howe Island","Nova Zelandija"
"1965","Mount Kennedy","4238","Saint Elias Mts","Kanada"
"1965","Mount Thor","1675","Baffin Mountains","Kanada"
"1965","Mount Nirvana","2773","Mackenzie Mts","Kanada"
"1965","Pico da Neblina","2994","Guiana Highlands","Brazilija"
"1966","Old Man of Hoy","137","Orkney Islands","Velika Britanija"
"1966","Mount Vinson","4897","Ellsworth Mts","Antarktika"
"1967","Mount Tyree","4852","Ellsworth Mts","Antarktika"
"1967","Barbeau Peak","2616","Arctic Cordillera","Kanada"
"1970","K6/Baltistan Peak","7282","Karakoram","Pakistan"
"1970","Ngadi Chuli","7871","Himalayas","Nepal"
"1971","Dhaulagiri II","7751","Himalayas","Nepal"
"1971","Malubiting","7458","Karakoram","Pakistan"
"1971","Khunyang Chhish","7852","Karakoram","Pakistan"
"1973","Saser Kangri I","7672","Karakoram","Indija"
"1974","Cerro Torre","3128","Patagonia","Argentina"
"1974","Nilkantha","6596","Himalayas","Indija"
"1974","Shivling","6543","Himalayas","Indija"
"1974","Changabang","6864","Himalayas","Indija"
"1974","Shispare","7611","Karakoram","Pakistan"
"1974","K12","7428","Karakoram","Indija"
"1975","Chogolisa","7665","Karakoram","Pakistan"
"1975","Gasherbrum III","7946","Karakoram","Kitajska"
"1976","Torre Egger","2685","Patagonia","Argentina"
"1976","Batura Sar","7795","Karakoram","Pakistan"
"1976","Nameless Tower","6239","Karakoram","Pakistan"
"1977","The Ogre","7285","Karakoram","Pakistan"
"1977","Great Trango Tower","6286","Karakoram","Pakistan"
